num_fins,fin_height_m,fin_thickness_m,base_thickness_m,spacing_m,h_W_per_m2K,eta_fin,base_exposed_area_m2,A_eff_m2,R_base_K_per_W,R_contact_K_per_W,R_conv_K_per_W,R_total_K_per_W,T_chip_C,Pass_R_total,Pass_derated_70C,Pass_failure_85C
8,0.015,0.001,0.003,0.006114285714285714,65.0,0.9521305776014142,0.00217424,0.01378261600211644,0.0056707430488031705,0.012916692500051669,1.1162333320650408,1.1348207676138957,138.48207676138958,False,False,False
8,0.015,0.001,0.004,0.006114285714285714,65.0,0.9521305776014142,0.00217424,0.01378261600211644,0.00756099073173756,0.012916692500051669,1.1162333320650408,1.13671101529683,138.671101529683,False,False,False
8,0.015,0.001,0.005,0.006114285714285714,65.0,0.9521305776014142,0.00217424,0.01378261600211644,0.00945123841467195,0.012916692500051669,1.1162333320650408,1.1386012629797644,138.86012629797642,False,False,False
8,0.015,0.001,0.006,0.006114285714285714,65.0,0.9521305776014142,0.00217424,0.01378261600211644,0.011341486097606341,0.012916692500051669,1.1162333320650408,1.140491510662699,139.0491510662699,False,False,False
8,0.015,0.0015,0.003,0.005542857142857143,65.0,0.9664493904943342,0.00197104,0.013753990968906922,0.0056707430488031705,0.012916692500051669,1.1185564553150242,1.1371438908638791,138.7143890863879,False,False,False
8,0.015,0.0015,0.004,0.005542857142857143,65.0,0.9664493904943342,0.00197104,0.013753990968906922,0.00756099073173756,0.012916692500051669,1.1185564553150242,1.1390341385468135,138.90341385468133,False,False,False
8,0.015,0.0015,0.005,0.005542857142857143,65.0,0.9664493904943342,0.00197104,0.013753990968906922,0.00945123841467195,0.012916692500051669,1.1185564553150242,1.1409243862297478,139.09243862297478,False,False,False
8,0.015,0.0015,0.006,0.005542857142857143,65.0,0.9664493904943342,0.00197104,0.013753990968906922,0.011341486097606341,0.012916692500051669,1.1185564553150242,1.1428146339126823,139.28146339126823,False,False,False
8,0.015,0.002,0.003,0.004971428571428571,65.0,0.9737936375715175,0.00176784,0.01364033202927194,0.0056707430488031705,0.012916692500051669,1.1278768985681755,1.1464643341170304,139.64643341170304,False,False,False
8,0.015,0.002,0.004,0.004971428571428571,65.0,0.9737936375715175,0.00176784,0.01364033202927194,0.00756099073173756,0.012916692500051669,1.1278768985681755,1.1483545817999647,139.83545817999646,False,False,False
8,0.015,0.002,0.005,0.004971428571428571,65.0,0.9737936375715175,0.00176784,0.01364033202927194,0.00945123841467195,0.012916692500051669,1.1278768985681755,1.150244829482899,140.02448294828991,False,False,False
8,0.015,0.002,0.006,0.004971428571428571,65.0,0.9737936375715175,0.00176784,0.01364033202927194,0.011341486097606341,0.012916692500051669,1.1278768985681755,1.1521350771658336,140.21350771658336,False,False,False
8,0.015,0.0025,0.003,0.004399999999999999,65.0,0.9782551809929797,0.00156464,0.01349152716666641,0.0056707430488031705,0.012916692500051669,1.140316822147921,1.1589042576967759,140.8904257696776,False,False,False
8,0.015,0.0025,0.004,0.004399999999999999,65.0,0.9782551809929797,0.00156464,0.01349152716666641,0.00756099073173756,0.012916692500051669,1.140316822147921,1.1607945053797102,141.079450537971,False,False,False
8,0.015,0.0025,0.005,0.004399999999999999,65.0,0.9782551809929797,0.00156464,0.01349152716666641,0.00945123841467195,0.012916692500051669,1.140316822147921,1.1626847530626445,141.26847530626446,False,False,False
8,0.015,0.0025,0.006,0.004399999999999999,65.0,0.9782551809929797,0.00156464,0.01349152716666641,0.011341486097606341,0.012916692500051669,1.140316822147921,1.164575000745579,141.4575000745579,False,False,False
8,0.015,0.003,0.003,0.003828571428571428,65.0,0.9812486031903821,0.00136144,0.013324822970097138,0.0056707430488031705,0.012916692500051669,1.154583097962406,1.173170533511261,142.3170533511261,False,False,False
8,0.015,0.003,0.004,0.003828571428571428,65.0,0.9812486031903821,0.00136144,0.013324822970097138,0.00756099073173756,0.012916692500051669,1.154583097962406,1.1750607811941953,142.50607811941953,False,False,False
8,0.015,0.003,0.005,0.003828571428571428,65.0,0.9812486031903821,0.00136144,0.013324822970097138,0.00945123841467195,0.012916692500051669,1.154583097962406,1.1769510288771297,142.69510288771295,False,False,False
8,0.015,0.003,0.006,0.003828571428571428,65.0,0.9812486031903821,0.00136144,0.013324822970097138,0.011341486097606341,0.012916692500051669,1.154583097962406,1.1788412765600642,142.88412765600643,False,False,False
8,0.02,0.001,0.003,0.006114285714285714,65.0,0.9197143797280146,0.00217424,0.017125116956858605,0.0056707430488031705,0.012916692500051669,0.8983655658161125,0.9169530013649674,116.69530013649674,False,False,False
8,0.02,0.001,0.004,0.006114285714285714,65.0,0.9197143797280146,0.00217424,0.017125116956858605,0.00756099073173756,0.012916692500051669,0.8983655658161125,0.9188432490479017,116.88432490479018,False,False,False
8,0.02,0.001,0.005,0.006114285714285714,65.0,0.9197143797280146,0.00217424,0.017125116956858605,0.00945123841467195,0.012916692500051669,0.8983655658161125,0.9207334967308362,117.07334967308361,False,False,False
8,0.02,0.001,0.006,0.006114285714285714,65.0,0.9197143797280146,0.00217424,0.017125116956858605,0.011341486097606341,0.012916692500051669,0.8983655658161125,0.9226237444137705,117.26237444137705,False,False,False
8,0.02,0.0015,0.003,0.005542857142857143,65.0,0.9434392081705744,0.00197104,0.017307587768020855,0.0056707430488031705,0.012916692500051669,0.8888942578723457,0.9074816934212006,115.74816934212005,False,False,False
8,0.02,0.0015,0.004,0.005542857142857143,65.0,0.9434392081705744,0.00197104,0.017307587768020855,0.00756099073173756,0.012916692500051669,0.8888942578723457,0.9093719411041349,115.93719411041349,False,False,False
8,0.02,0.0015,0.005,0.005542857142857143,65.0,0.9434392081705744,0.00197104,0.017307587768020855,0.00945123841467195,0.012916692500051669,0.8888942578723457,0.9112621887870693,116.12621887870694,False,False,False
8,0.02,0.0015,0.006,0.005542857142857143,65.0,0.9434392081705744,0.00197104,0.017307587768020855,0.011341486097606341,0.012916692500051669,0.8888942578723457,0.9131524364700037,116.31524364700037,False,False,False
8,0.02,0.002,0.003,0.004971428571428571,65.0,0.9558575714763853,0.00176784,0.017306260681920118,0.0056707430488031705,0.012916692500051669,0.8889624204428933,0.9075498559917482,115.75498559917482,False,False,False
