num_fins,fin_height_m,fin_thickness_m,base_thickness_m,spacing_m,h_W_per_m2K,eta_fin,base_exposed_area_m2,A_eff_m2,R_base_K_per_W,R_contact_K_per_W,R_conv_K_per_W,R_total_K_per_W,T_chip_C,Pass_R_total,Pass_derated_70C,Pass_failure_85C
8,0.05,0.003,0.003,0.003828571428571428,65.0,0.8472797131485227,0.00136144,0.03579488754235596,0.0056707430488031705,0.012916692500051669,0.42979923784956225,0.4483866733984171,69.8386673398417,True,True,True
9,0.045,0.0025,0.003,0.0035375,65.0,0.8513230927470943,0.00143764,0.03646788262035743,0.0056707430488031705,0.012916692500051669,0.4218675250431799,0.44045496059203476,69.04549605920349,True,True,True
9,0.045,0.0025,0.004,0.0035375,65.0,0.8513230927470943,0.00143764,0.03646788262035743,0.00756099073173756,0.012916692500051669,0.4218675250431799,0.44234520827496915,69.23452082749691,True,True,True
9,0.045,0.0025,0.005,0.0035375,65.0,0.8513230927470943,0.00143764,0.03646788262035743,0.00945123841467195,0.012916692500051669,0.4218675250431799,0.44423545595790354,69.42354559579036,True,True,True
9,0.045,0.0025,0.006,0.0035375,65.0,0.8513230927470943,0.00143764,0.03646788262035743,0.011341486097606341,0.012916692500051669,0.4218675250431799,0.4461257036408379,69.6125703640838,True,True,True
9,0.045,0.003,0.003,0.0029749999999999998,65.0,0.8711525473689028,0.00120904,0.037055225019135614,0.0056707430488031705,0.012916692500051669,0.4151807302929788,0.43376816584183364,68.37681658418336,True,True,True
9,0.045,0.003,0.004,0.0029749999999999998,65.0,0.8711525473689028,0.00120904,0.037055225019135614,0.00756099073173756,0.012916692500051669,0.4151807302929788,0.43565841352476803,68.56584135247681,True,True,True
9,0.045,0.003,0.005,0.0029749999999999998,65.0,0.8711525473689028,0.00120904,0.037055225019135614,0.00945123841467195,0.012916692500051669,0.4151807302929788,0.4375486612077024,68.75486612077025,True,True,True
9,0.045,0.003,0.006,0.0029749999999999998,65.0,0.8711525473689028,0.00120904,0.037055225019135614,0.011341486097606341,0.012916692500051669,0.4151807302929788,0.4394389088906368,68.94389088906368,True,True,True
9,0.05,0.0015,0.003,0.0046625,65.0,0.7467873748635436,0.00189484,0.03603795877876122,0.0056707430488031705,0.012916692500051669,0.4269002991834884,0.4454877347323432,69.54877347323432,True,True,True
9,0.05,0.0015,0.004,0.0046625,65.0,0.7467873748635436,0.00189484,0.03603795877876122,0.00756099073173756,0.012916692500051669,0.4269002991834884,0.4473779824152776,69.73779824152777,True,True,True
9,0.05,0.0015,0.005,0.0046625,65.0,0.7467873748635436,0.00189484,0.03603795877876122,0.00945123841467195,0.012916692500051669,0.4269002991834884,0.449268230098212,69.92682300982119,True,True,True
9,0.05,0.002,0.003,0.0040999999999999995,65.0,0.7930937892739091,0.0016662399999999998,0.03792648804560313,0.0056707430488031705,0.012916692500051669,0.4056430262173707,0.42423046176622553,67.42304617662256,True,True,True
9,0.05,0.002,0.004,0.0040999999999999995,65.0,0.7930937892739091,0.0016662399999999998,0.03792648804560313,0.00756099073173756,0.012916692500051669,0.4056430262173707,0.4261207094491599,67.61207094491598,True,True,True
9,0.05,0.002,0.005,0.0040999999999999995,65.0,0.7930937892739091,0.0016662399999999998,0.03792648804560313,0.00945123841467195,0.012916692500051669,0.4056430262173707,0.4280109571320943,67.80109571320943,True,True,True
9,0.05,0.002,0.006,0.0040999999999999995,65.0,0.7930937892739091,0.0016662399999999998,0.03792648804560313,0.011341486097606341,0.012916692500051669,0.4056430262173707,0.4299012048150287,67.99012048150287,True,True,True
9,0.05,0.0025,0.003,0.0035375,65.0,0.824534201842774,0.00143764,0.03913534370825163,0.0056707430488031705,0.012916692500051669,0.39311307700030657,0.4117005125491614,66.17005125491613,True,True,True
9,0.05,0.0025,0.004,0.0035375,65.0,0.824534201842774,0.00143764,0.03913534370825163,0.00756099073173756,0.012916692500051669,0.39311307700030657,0.4135907602320958,66.35907602320958,True,True,True
9,0.05,0.0025,0.005,0.0035375,65.0,0.824534201842774,0.00143764,0.03913534370825163,0.00945123841467195,0.012916692500051669,0.39311307700030657,0.4154810079150302,66.54810079150302,True,True,True
9,0.05,0.0025,0.006,0.0035375,65.0,0.824534201842774,0.00143764,0.03913534370825163,0.011341486097606341,0.012916692500051669,0.39311307700030657,0.41737125559796456,66.73712555979645,True,True,True
9,0.05,0.003,0.003,0.0029749999999999998,65.0,0.8472797131485227,0.00120904,0.03994666848515046,0.0056707430488031705,0.012916692500051669,0.38512887226964554,0.4037163078185004,65.37163078185003,True,True,True
9,0.05,0.003,0.004,0.0029749999999999998,65.0,0.8472797131485227,0.00120904,0.03994666848515046,0.00756099073173756,0.012916692500051669,0.38512887226964554,0.40560655550143476,65.56065555014348,True,True,True
9,0.05,0.003,0.005,0.0029749999999999998,65.0,0.8472797131485227,0.00120904,0.03994666848515046,0.00945123841467195,0.012916692500051669,0.38512887226964554,0.40749680318436915,65.74968031843692,True,True,True
9,0.05,0.003,0.006,0.0029749999999999998,65.0,0.8472797131485227,0.00120904,0.03994666848515046,0.011341486097606341,0.012916692500051669,0.38512887226964554,0.40938705086730354,65.93870508673035,True,True,True
10,0.04,0.002,0.003,0.003422222222222222,65.0,0.8534914981291505,0.00156464,0.03625053448396867,0.0056707430488031705,0.012916692500051669,0.4243969255520641,0.44298436110091893,69.2984361100919,True,True,True
10,0.04,0.002,0.004,0.003422222222222222,65.0,0.8534914981291505,0.00156464,0.03625053448396867,0.00756099073173756,0.012916692500051669,0.4243969255520641,0.4448746087838533,69.48746087838533,True,True,True
10,0.04,0.002,0.005,0.003422222222222222,65.0,0.8534914981291505,0.00156464,0.03625053448396867,0.00945123841467195,0.012916692500051669,0.4243969255520641,0.4467648564667877,69.67648564667877,True,True,True
10,0.04,0.002,0.006,0.003422222222222222,65.0,0.8534914981291505,0.00156464,0.03625053448396867,0.011341486097606341,0.012916692500051669,0.4243969255520641,0.4486551041497221,69.8655104149722,True,True,True
10,0.04,0.0025,0.003,0.0028666666666666662,65.0,0.8772735851881902,0.0013106399999999999,0.036963038502048046,0.0056707430488031705,0.012916692500051669,0.4162161988864351,0.4348036344352899,68.480363443529,True,True,True
10,0.04,0.0025,0.004,0.0028666666666666662,65.0,0.8772735851881902,0.0013106399999999999,0.036963038502048046,0.00756099073173756,0.012916692500051669,0.4162161988864351,0.4366938821182243,68.66938821182242,True,True,True
10,0.04,0.0025,0.005,0.0028666666666666662,65.0,0.8772735851881902,0.0013106399999999999,0.036963038502048046,0.00945123841467195,0.012916692500051669,0.4162161988864351,0.4385841298011587,68.85841298011587,True,True,True
10,0.04,0.0025,0.006,0.0028666666666666662,65.0,0.8772735851881902,0.0013106399999999999,0.036963038502048046,0.011341486097606341,0.012916692500051669,0.4162161988864351,0.44047437748409307,69.04743774840931,True,True,True
10,0.04,0.003,0.003,0.002311111111111111,65.0,0.8940511260024171,0.00105664,0.037390877760738225,0.0056707430488031705,0.012916692500051669,0.41145371026218025,0.4300411458110351,68.00411458110351,True,True,True
10,0.04,0.003,0.004,0.002311111111111111,65.0,0.8940511260024171,0.00105664,0.037390877760738225,0.00756099073173756,0.012916692500051669,0.41145371026218025,0.4319313934939695,68.19313934939694,True,True,True
10,0.04,0.003,0.005,0.002311111111111111,65.0,0.8940511260024171,0.00105664,0.037390877760738225,0.00945123841467195,0.012916692500051669,0.41145371026218025,0.43382164117690386,68.3821641176904,True,True,True
